                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.94343,                 1.4714,                 1.4927,                0.52777,                0.66643,                0.56151,                0.43183,                0.82212,                 1.1263,                 1.4043,              0.0077965,              0.0077965,              0.0077965
                     71,                0.97541,                 1.4429,                 1.5103,                0.44377,                0.59333,                0.47817,                0.35418,                0.89669,                 1.3114,                 1.4905,              0.0077645,              0.0077645,              0.0077645
                     72,                0.95183,                 1.4435,                 1.4982,                0.53405,                0.67526,                0.56622,                0.44918,                 0.7286,                 1.0655,                 1.2934,              0.0077326,              0.0077326,              0.0077326
                     73,                0.93441,                 1.4552,                 1.4945,                0.55292,                0.69443,                0.59225,                0.47637,                0.69044,                 1.0169,                 1.2627,              0.0077006,              0.0077006,              0.0077006
                     74,                0.94865,                 1.4049,                 1.4884,                0.59536,                0.68481,                0.59648,                0.46616,                0.74558,                 1.1157,                  1.305,              0.0076687,              0.0076687,              0.0076687
                     75,                0.98199,                 1.4868,                 1.5304,                0.63211,                0.67665,                0.59818,                0.47381,                0.74106,                 1.0624,                 1.3195,              0.0076368,              0.0076368,              0.0076368
                     76,                0.90202,                  1.387,                 1.4353,                0.57837,                0.66989,                0.58253,                0.44646,                0.77332,                 1.0957,                  1.348,              0.0076048,              0.0076048,              0.0076048
                     77,                0.90296,                 1.4114,                 1.4472,                 0.5341,                0.69837,                0.58125,                0.46871,                 0.6758,                 1.0634,                 1.2467,              0.0075729,              0.0075729,              0.0075729
                     78,                 0.9336,                 1.3667,                  1.462,                0.56967,                0.69907,                0.59349,                0.47383,                0.71685,                  1.014,                 1.2967,               0.007541,               0.007541,               0.007541
                     79,                0.94088,                 1.4143,                 1.4858,                0.66285,                0.71601,                0.62151,                0.50527,                0.69657,                0.99231,                 1.2856,               0.007509,               0.007509,               0.007509
                     80,                0.95073,                 1.3844,                 1.4872,                0.51575,                0.75001,                0.59661,                0.48158,                0.69172,                 1.0542,                 1.2624,              0.0074771,              0.0074771,              0.0074771
                     81,                0.87519,                 1.3195,                 1.4137,                0.53769,                0.71205,                0.60792,                0.48968,                0.67415,                0.97745,                 1.2402,              0.0074452,              0.0074452,              0.0074452
                     82,                0.86287,                  1.303,                 1.3966,                0.65714,                0.66793,                0.58647,                0.42283,                0.91886,                 1.2665,                  1.483,              0.0074132,              0.0074132,              0.0074132
                     83,                0.87013,                 1.3436,                 1.4083,                0.49946,                0.76715,                 0.6139,                0.49113,                0.68096,                0.99598,                 1.2591,              0.0073813,              0.0073813,              0.0073813
                     84,                0.89192,                  1.356,                 1.4336,                 0.5175,                0.77117,                0.63134,                0.50875,                0.65886,                0.99473,                 1.2359,              0.0073494,              0.0073494,              0.0073494
                     85,                0.89453,                 1.3347,                 1.4246,                0.53908,                0.73688,                0.62194,                0.50418,                0.64738,                0.99065,                 1.2194,              0.0073174,              0.0073174,              0.0073174
                     86,                0.89141,                 1.3725,                 1.4345,                0.59299,                0.75909,                0.61969,                0.50724,                0.64773,                0.95195,                  1.216,              0.0072855,              0.0072855,              0.0072855
                     87,                 0.8663,                 1.3264,                 1.4072,                0.57864,                0.73301,                0.61629,                0.47705,                0.76166,                 1.1127,                  1.329,              0.0072535,              0.0072535,              0.0072535
                     88,                0.84156,                 1.3221,                 1.3861,                0.59369,                0.70181,                0.62127,                0.49894,                0.66233,                0.99355,                 1.2314,              0.0072216,              0.0072216,              0.0072216
                     89,                0.86691,                 1.3045,                 1.4015,                 0.5591,                0.69436,                0.64116,                  0.522,                0.64788,                 1.0667,                 1.2064,              0.0071897,              0.0071897,              0.0071897
                     90,                0.88187,                 1.3061,                 1.4206,                0.54282,                0.74822,                0.62796,                0.51638,                0.61449,                0.93876,                 1.1802,              0.0071577,              0.0071577,              0.0071577
                     91,                0.84896,                 1.3298,                  1.417,                0.58993,                0.67785,                0.62118,                0.49684,                0.66115,                0.98699,                 1.2239,              0.0071258,              0.0071258,              0.0071258
                     92,                0.83153,                 1.3062,                  1.394,                0.62681,                0.73226,                0.62635,                0.50182,                0.69116,                0.98199,                 1.2479,              0.0070939,              0.0070939,              0.0070939
                     93,                0.87306,                 1.3273,                 1.4029,                0.56481,                0.76935,                0.62548,                0.50983,                0.63663,                0.96109,                 1.1954,              0.0070619,              0.0070619,              0.0070619
                     94,                0.86134,                 1.3011,                 1.4082,                0.63017,                0.72714,                0.65969,                0.53965,                0.63145,                0.93124,                 1.1783,                0.00703,                0.00703,                0.00703
                     95,                0.85702,                 1.3008,                 1.3879,                0.51504,                0.72491,                0.60993,                0.48698,                0.67771,                 1.0837,                 1.2371,              0.0069981,              0.0069981,              0.0069981
                     96,                0.85376,                 1.3213,                 1.3864,                0.57289,                0.75267,                0.65936,                 0.5405,                0.60811,                0.90704,                 1.1683,              0.0069661,              0.0069661,              0.0069661
                     97,                0.85002,                 1.2586,                 1.3903,                0.63007,                0.71948,                0.68571,                0.56685,                0.62881,                 0.8772,                 1.1844,              0.0069342,              0.0069342,              0.0069342
                     98,                0.82269,                 1.2713,                 1.3681,                0.62794,                0.77302,                0.69675,                0.57329,                0.61839,                 0.9067,                 1.1885,              0.0069023,              0.0069023,              0.0069023
                     99,                0.85409,                 1.2825,                  1.405,                0.61659,                0.74251,                0.68651,                0.56923,                0.61685,                0.91387,                  1.173,              0.0068703,              0.0068703,              0.0068703
                    100,                0.87009,                 1.3092,                 1.4026,                0.58567,                0.79518,                0.70331,                0.58239,                0.62698,                 0.8942,                 1.1861,              0.0068384,              0.0068384,              0.0068384
                    101,                0.79082,                 1.2533,                 1.3722,                0.59083,                0.73126,                0.66725,                0.54676,                0.62302,                0.93425,                 1.1734,              0.0068065,              0.0068065,              0.0068065
                    102,                0.82621,                 1.2291,                  1.386,                0.60354,                0.76672,                0.70528,                0.58715,                0.59027,                0.85607,                 1.1518,              0.0067745,              0.0067745,              0.0067745
                    103,                0.83898,                 1.2543,                 1.3852,                0.67954,                 0.6774,                0.72177,                0.58368,                  0.624,                0.86964,                 1.1693,              0.0067426,              0.0067426,              0.0067426
                    104,                0.81238,                 1.2303,                 1.3512,                0.61002,                0.76761,                0.71013,                0.59209,                0.57799,                0.89374,                 1.1358,              0.0067106,              0.0067106,              0.0067106
